date,event,format,gender,nat,name,run,start_time,int1,int2,int3,int4,finish,speed,air_temp,ice_temp,is_normal,status
2025-02-16,ACh Women Singles,COMPETITION,W,KOR,"Jung, Hyesun",1,4.392,16.547,24.595,28.497,40.152,47.399,113.16,4.8,-3.2,True,OK
2025-02-16,ACh Women Singles,COMPETITION,W,CHN,"Wang, Peixuan",1,4.368,16.555,24.675,28.612,40.45,47.897,112.19,4.8,-3.2,True,OK
2025-02-16,ACh Women Singles,COMPETITION,W,KOR,"Shin, Yubin",1,4.444,16.722,24.848,28.794,40.631,48.009,111.37,4.8,-3.2,True,OK
2025-02-16,ACh Women Singles,COMPETITION,W,KOR,"Kim, Soyoon",1,4.383,16.643,24.759,28.716,40.593,48.025,110.97,4.8,-3.2,True,OK
2025-02-16,ACh Women Singles,COMPETITION,W,KOR,"Park, Jiye",1,4.458,16.797,24.966,28.956,40.922,48.403,110.16,4.8,-3.2,True,OK
2025-02-16,ACh Women Singles,COMPETITION,W,CHN,"Hu, Huilan",1,4.395,16.636,24.717,28.683,40.776,48.665,110.03,4.8,-3.2,True,OK
2025-02-15,Nationscup Women Singles,COMPETITION,W,AUT,"Prock, Hannah",1,4.395,16.478,24.453,28.306,39.782,46.832,112.19,5.2,-1.5,True,OK
2025-02-15,Nationscup Women Singles,COMPETITION,W,ITA,"Zoeggeler, Nina",1,4.392,16.487,24.457,28.351,39.919,47.079,107.32,5.2,-1.5,True,OK
2025-02-15,Nationscup Women Singles,COMPETITION,W,AUT,"Schwarz, Dorothea",1,4.359,16.488,24.513,28.411,40.04,47.225,112.61,5.2,-1.5,True,OK
2025-02-15,Nationscup Women Singles,COMPETITION,W,SWE,"Kohala, Tove",1,4.38,16.511,24.52,28.401,40.056,47.302,113.16,5.2,-1.5,True,OK
2025-02-15,Nationscup Women Singles,COMPETITION,W,KOR,"Jung, Hyesun",1,4.405,16.54,24.575,28.493,40.4,47.768,108.34,5.2,-1.5,True,OK
2025-02-15,Nationscup Women Singles,COMPETITION,W,UKR,"Smaha, Olena",1,4.4,16.611,24.75,28.692,40.528,47.93,110.63,5.2,-1.5,True,OK
2025-02-15,Nationscup Women Singles,COMPETITION,W,KOR,"Kim, Soyoon",1,4.394,16.608,24.71,28.647,40.497,47.99,111.24,5.2,-1.5,True,OK
2025-02-15,Nationscup Women Singles,COMPETITION,W,KOR,"Shin, Yubin",1,4.432,16.691,24.816,28.753,40.589,48.012,110.76,5.2,-1.5,True,OK
2025-02-15,Nationscup Women Singles,COMPETITION,W,CHN,"Wang, Peixuan",1,4.359,16.511,24.548,28.467,40.649,48.289,112.05,5.2,-1.5,True,OK
2025-02-15,Nationscup Women Singles,COMPETITION,W,KOR,"Park, Jiye",1,4.441,16.745,24.927,28.903,40.883,48.46,110.7,5.2,-1.5,True,OK
2025-02-15,Nationscup Women Singles,COMPETITION,W,IRL,"Desmond, Elsa",1,4.407,16.639,24.773,28.787,40.95,48.738,108.98,5.2,-1.5,True,OK
2025-02-15,Nationscup Women Singles,COMPETITION,W,CHN,"Hu, Huilan",1,4.431,16.768,24.874,28.796,42.207,50.653,111.64,5.2,-1.5,True,OK
2017-02-18,WC Women 2016/2017,COMPETITION,W,RUS,"Ivanova, Tatyana",1,4.332,16.411,24.386,35.224,,46.856,113.44,,,True,OK
2017-02-18,WC Women 2016/2017,COMPETITION,W,GER,"Geisenberger, Natalie",1,4.319,16.371,24.336,35.183,,46.795,114.08,,,True,OK
2017-02-18,WC Women 2016/2017,COMPETITION,W,GER,Taubitz Julia,1,4.36,16.475,24.465,35.309,,46.825,113.87,,,True,OK
2017-02-18,WC Women 2016/2017,COMPETITION,W,GER,"Huefner, Tatjana",1,4.318,16.363,24.353,35.347,,47.116,117.75,,,True,OK
2017-02-18,WC Women 2016/2017,COMPETITION,W,AUT,"Platzer, Birgit",1,4.388,16.516,24.532,35.43,,47.059,111.99,,,True,OK
2017-02-18,WC Women 2016/2017,COMPETITION,W,CAN,"McRae, Kimberley",1,4.357,16.444,24.445,35.497,,47.332,109.9,,,True,OK
2017-02-18,WC Women 2016/2017,COMPETITION,W,LAT,"Zirne, Ulla",1,4.461,16.576,24.574,35.508,,47.306,112.95,,,True,OK
2017-02-18,WC Women 2016/2017,COMPETITION,W,GER,"Eitberger, Dajana",1,4.369,16.437,24.406,35.526,,47.541,115.6,,,True,OK
2017-02-18,WC Women 2016/2017,COMPETITION,W,SUI,"Kocher, Martina",1,4.382,16.508,24.514,35.485,,47.268,112.74,,,True,OK
2017-02-18,WC Women 2016/2017,COMPETITION,W,USA,"Hamlin, Erin",1,4.38,16.484,24.5,35.563,,47.461,112.47,,,True,OK
2017-02-18,WC Women 2016/2017,COMPETITION,W,LAT,"Cauce, Eliza",1,4.374,16.507,24.531,35.547,,47.38,110.1,,,True,OK
2017-02-18,WC Women 2016/2017,COMPETITION,W,RUS,"Baturina, Ekaterina",1,4.364,16.43,24.41,35.401,,47.21,111.37,,,True,OK
2017-02-18,WC Women 2016/2017,COMPETITION,W,USA,"Britcher, Summer",1,4.348,16.451,24.437,35.471,,47.403,114.01,,,True,OK
2017-02-18,WC Women 2016/2017,COMPETITION,W,CAN,"Gough, Alex",1,4.312,16.37,24.351,35.671,,47.905,112.47,,,True,OK
2017-02-18,WC Women 2016/2017,COMPETITION,W,ROU,"Stramaturaru, Raluca",1,4.434,16.574,24.593,35.529,,47.283,112.81,,,True,OK
2017-02-18,WC Women 2016/2017,COMPETITION,W,AUT,"Egle, Madeleine",1,4.411,16.613,24.677,35.646,,47.377,107.19,,,True,OK
2017-02-18,WC Women 2016/2017,COMPETITION,W,RUS,"Katnikova, Ekaterina",1,4.411,16.566,24.63,35.603,,47.477,111.64,,,True,OK
2017-02-18,WC Women 2016/2017,COMPETITION,W,POL,"Kuls, Ewa",1,4.384,16.557,24.641,35.954,,48.336,116.11,,,True,OK
2017-02-18,WC Women 2016/2017,COMPETITION,W,RUS,"Demchenko, Victoria",1,4.396,16.531,24.565,36.131,,48.495,106.76,,,True,OK
2017-02-18,WC Women 2016/2017,COMPETITION,W,ITA,"Voetter, Andrea",1,4.406,16.529,24.572,35.964,,48.315,107.63,,,True,OK
2017-02-18,WC Women 2016/2017,COMPETITION,W,USA,"Sweeney, Emily",1,4.388,16.544,24.55,36.402,,49.447,111.85,,,True,OK
2017-02-18,WC Women 2016/2017,COMPETITION,W,AUT,"Kastlunger, Miriam",1,4.426,16.548,24.581,35.873,,48.084,110.9,,,True,OK
2017-02-18,WC Women 2016/2017,COMPETITION,W,CAN,"Apshkrum, Brooke",1,4.398,16.525,24.554,35.712,,47.619,110.43,,,True,OK
2017-02-17,NC Women 2016/2017,COMPETITION,W,GER,Taubitz Julia,1,4.362,16.499,24.524,35.429,,47.055,113.3,,,True,OK
2017-02-17,NC Women 2016/2017,COMPETITION,W,GER,"Eitberger, Dajana",1,4.352,16.455,24.469,35.436,,47.226,111.85,,,True,OK
2017-02-17,NC Women 2016/2017,COMPETITION,W,RUS,"Katnikova, Ekaterina",1,4.412,16.578,24.67,35.687,,47.518,111.85,,,True,OK
2017-02-17,NC Women 2016/2017,COMPETITION,W,LAT,"Zirne, Ulla",1,4.461,16.598,24.643,35.705,,47.559,116.11,,,True,OK
2017-02-17,NC Women 2016/2017,COMPETITION,W,CAN,"Apshkrum, Brooke",1,4.406,16.603,24.698,35.723,,47.57,111.58,,,True,OK
2017-02-17,NC Women 2016/2017,COMPETITION,W,ITA,"Voetter, Andrea",1,4.428,16.601,24.72,35.732,,47.578,112.4,,,True,OK
2017-02-17,NC Women 2016/2017,COMPETITION,W,AUT,"Egle, Madeleine",1,4.405,16.642,24.717,35.721,,47.599,110.97,,,True,OK
2017-02-17,NC Women 2016/2017,COMPETITION,W,LAT,"Aparjode, Kendija",1,4.432,16.667,24.722,35.723,,47.638,112.81,,,True,OK
2017-02-17,NC Women 2016/2017,COMPETITION,W,RUS,"Mikhaylenko, Olesya",1,4.428,16.698,24.772,35.807,,47.682,111.44,,,True,OK
2017-02-17,NC Women 2016/2017,COMPETITION,W,RUS,"Demchenko, Victoria",1,4.38,16.562,24.656,35.696,,47.775,111.78,,,True,OK
2017-02-17,NC Women 2016/2017,COMPETITION,W,RUS,"Baturina, Ekaterina",1,4.355,16.452,24.484,35.666,,47.779,114.87,,,True,OK
2017-02-17,NC Women 2016/2017,COMPETITION,W,POL,"Kuls, Ewa",1,4.381,16.581,24.675,35.784,,47.868,112.05,,,True,OK
